cumulative_distance,n_game_road_trip,win?
0,0,1
1073,1,1
0,0,1
0,0,0
874,1,0
0,0,1
895,1,1
0,0,1
0,0,1
977,1,1
0,0,1
365,1,0
1221,2,0
0,0,0
860,1,1
1767,2,0
4521,3,0
5081,4,0
6133,5,0
0,0,0
1185,1,0
0,0,0
0,0,1
1079,1,1
0,0,0
1185,1,1
0,0,0
1217,1,1
0,0,0
1950,1,1
3076,2,0
0,0,1
0,0,1
0,0,1
647,1,1
1506,2,1
2217,3,1
4425,4,1
0,0,0
0,0,1
1202,1,1
1976,2,0
0,0,1
0,0,1
0,0,0
949,1,1
0,0,0
0,0,1
977,1,0
2536,2,1
0,0,1
0,0,0
0,0,1
3356,1,0
4135,2,1
5467,3,0
0,0,0
647,1,0
2445,2,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
543,1,1
1561,2,0
0,0,0
0,0,0
365,1,0
896,2,0
1919,3,0
0,0,0
0,0,1
1073,1,1
2143,2,0
3295,3,0
0,0,1
895,1,1
0,0,1
0,0,1
860,1,0
