cumulative_distance,n_game_road_trip,win?
1202,1,0
2738,2,0
3753,3,1
0,0,1
0,0,0
1073,1,0
1650,2,0
0,0,0
0,0,1
365,1,0
0,0,0
0,0,0
3115,1,0
3675,2,0
5202,3,0
7334,4,0
0,0,0
0,0,0
0,0,0
0,0,1
977,1,1
2033,2,0
3546,3,0
0,0,0
0,0,0
0,0,1
1157,1,0
3650,2,0
3957,3,0
0,0,1
1202,1,1
1976,2,1
0,0,0
1464,1,1
0,0,1
860,1,0
1167,2,0
2190,3,0
0,0,1
1185,1,0
1744,2,0
1873,3,1
0,0,0
0,0,1
0,0,0
0,0,0
949,1,1
3776,2,0
5108,3,1
5691,4,0
8663,5,0
10874,6,1
14062,7,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,1
1130,1,0
0,0,1
0,0,0
949,1,1
2869,2,0
0,0,0
0,0,0
0,0,1
0,0,1
1508,1,0
3306,2,0
0,0,0
0,0,1
0,0,1
684,1,1
0,0,0
0,0,1
1421,1,0
0,0,1
647,1,0
2365,2,0
0,0,0
