cumulative_distance,n_game_road_trip,win?
436,1,0.0
0,0,1.0
306,1,1.0
0,0,1.0
0,0,1.0
886,1,1.0
1588,2,1.0
3367,3,1.0
0,0,1.0
0,0,1.0
4340,1,1.0
4461,2,0.0
5483,3,1.0
6058,4,0.0
7396,5,0.0
0,0,1.0
0,0,1.0
307,1,0.0
315,2,1.0
0,0,1.0
0,0,1.0
0,0,1.0
761,1,0.0
0,0,0.0
2493,1,1.0
0,0,1.0
0,0,1.0
693,1,1.0
0,0,1.0
0,0,0.0
1161,1,1.0
0,0,1.0
1368,1,1.0
2326,2,0.0
0,0,0.0
436,1,0.0
0,0,1.0
0,0,1.0
0,0,0.0
1378,1,0.0
0,0,0.0
0,0,1.0
0,0,1.0
1798,1,1.0
2657,2,0.0
3735,3,1.0
0,0,1.0
0,0,1.0
1508,1,1.0
0,0,1.0
0,0,1.0
2406,1,1.0
3073,2,0.0
0,0,1.0
1806,1,1.0
4258,2,0.0
5590,3,1.0
8692,4,1.0
0,0,0.0
0,0,0.0
886,1,1.0
0,0,0.0
0,0,0.0
761,1,1.0
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
