cumulative_distance,n_game_road_trip,win?
0,0,0.0
0,0,1.0
1538,1,0.0
0,0,0.0
0,0,1.0
781,1,0.0
0,0,1.0
3938,1,1.0
5559,2,0.0
7770,3,0.0
9329,4,0.0
10808,5,1.0
0,0,0.0
0,0,1.0
0,0,1.0
8,1,1.0
659,2,1.0
1545,3,0.0
0,0,1.0
0,0,0.0
1202,1,1.0
1567,2,1.0
0,0,1.0
0,0,0.0
559,1,0.0
0,0,1.0
1883,1,1.0
2700,2,0.0
0,0,1.0
0,0,0.0
2286,1,0.0
3991,2,0.0
5381,3,0.0
0,0,0.0
1509,1,0.0
0,0,0.0
0,0,1.0
0,0,1.0
0,0,0.0
129,1,0.0
0,0,0.0
0,0,0.0
0,0,0.0
781,1,1.0
1555,2,0.0
0,0,1.0
0,0,1.0
328,1,0.0
0,0,1.0
0,0,1.0
559,1,0.0
903,2,1.0
0,0,1.0
129,1,0.0
855,2,1.0
0,0,0.0
328,1,0.0
1202,2,0.0
2179,3,0.0
4207,4,1.0
0,0,0.0
0,0,1.0
0,0,1.0
3946,1,1.0
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
