cumulative_distance,n_game_road_trip,win?
0,0,1
693,1,0
1244,2,1
0,0,0
2406,1,1
3872,2,1
0,0,1
0,0,1
761,1,0
2893,2,0
3837,3,1
6048,4,0
9150,5,0
0,0,1
0,0,1
0,0,0
1161,1,0
0,0,0
1508,1,1
2665,2,0
3376,3,1
0,0,1
1806,1,1
0,0,1
1368,1,1
0,0,1
634,1,1
0,0,1
986,1,0
0,0,0
0,0,0
0,0,1
0,0,1
2585,1,0
3366,2,1
4384,3,0
0,0,1
0,0,1
0,0,1
0,0,1
2028,1,0
2359,2,0
3868,3,0
0,0,1
0,0,1
1508,1,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
306,1,1
0,0,1
886,1,1
0,0,0
0,0,0
436,1,1
0,0,1
1378,1,0
1509,2,0
2211,3,0
0,0,0
0,0,1
0,0,0
4340,1,1
4461,2,1
5044,3,1
5044,4,0
0,0,1
0,0,1
0,0,0
436,1,0
1162,2,0
0,0,0
886,1,1
0,0,1
307,1,0
0,0,1
2028,1,1
3679,2,1
0,0,0
634,1,1
