cumulative_distance,n_game_road_trip,win?
1062,1,1
3110,2,1
0,0,0
0,0,1
854,1,1
0,0,1
0,0,1
0,0,0
702,1,0
1716,2,1
0,0,1
1046,1,0
0,0,0
0,0,0
856,1,0
0,0,1
838,1,1
0,0,0
0,0,1
0,0,0
1493,1,1
0,0,1
0,0,1
702,1,0
886,2,0
1193,3,0
1827,4,0
3335,5,1
0,0,1
0,0,1
854,1,0
2363,2,1
0,0,1
0,0,0
947,1,0
0,0,1
814,1,0
2810,2,0
3115,3,0
5274,4,0
5710,5,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
856,1,0
0,0,0
3682,1,0
4545,2,0
7606,3,0
0,0,1
0,0,0
0,0,0
0,0,0
947,1,0
1280,2,0
4536,3,1
5119,4,0
5119,5,1
5694,6,0
6638,7,1
0,0,1
1056,1,0
0,0,1
0,0,0
0,0,0
602,1,0
0,0,1
0,0,1
747,1,1
0,0,0
0,0,1
0,0,0
947,1,1
0,0,1
1513,1,1
3366,2,0
0,0,0
0,0,0
1062,1,0
2141,2,0
