cumulative_distance,n_game_road_trip,win?
947,1,0.0
1785,2,1.0
0,0,0.0
1146,1,0.0
1797,2,0.0
0,0,1.0
665,1,0.0
0,0,0.0
949,1,1.0
0,0,0.0
0,0,1.0
131,1,0.0
0,0,0.0
0,0,0.0
0,0,1.0
0,0,0.0
947,1,1.0
0,0,0.0
2989,1,0.0
3852,2,0.0
4631,3,1.0
0,0,1.0
0,0,0.0
1920,1,0.0
0,0,0.0
0,0,1.0
0,0,0.0
0,0,1.0
1116,1,0.0
2969,2,1.0
3605,3,1.0
5148,4,0.0
0,0,1.0
0,0,0.0
0,0,0.0
0,0,0.0
1293,1,0.0
2004,2,0.0
0,0,0.0
382,1,1.0
1368,2,0.0
0,0,1.0
1070,1,0.0
0,0,1.0
131,1,0.0
0,0,1.0
0,0,0.0
495,1,1.0
0,0,1.0
665,1,0.0
1165,2,0.0
1724,3,0.0
0,0,0.0
1070,1,0.0
1269,2,0.0
0,0,0.0
0,0,0.0
0,0,1.0
0,0,0.0
1146,1,0.0
0,0,1.0
572,1,0.0
0,0,0.0
1152,1,0.0
0,0,1.0
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
