cumulative_distance,n_game_road_trip,win?
306,1,0
1421,2,0
0,0,0
0,0,0
145,1,0
0,0,0
0,0,1
0,0,0
702,1,0
1449,2,0
0,0,0
495,1,0
0,0,1
491,1,0
1127,2,0
0,0,0
577,1,1
0,0,1
0,0,0
1531,1,0
3937,2,0
0,0,0
657,1,1
0,0,0
0,0,0
0,0,1
540,1,0
0,0,1
0,0,0
0,0,0
184,1,1
786,2,0
1733,3,0
0,0,0
1015,1,0
2423,2,0
3400,3,0
0,0,0
0,0,0
0,0,0
0,0,0
1491,1,0
2003,2,0
4212,3,1
5544,4,0
8646,5,0
10205,6,0
0,0,0
886,1,0
0,0,0
495,1,1
0,0,1
0,0,0
0,0,0
491,1,0
798,2,0
0,0,1
0,0,0
0,0,1
0,0,1
0,0,0
651,1,1
0,0,0
0,0,1
657,1,0
2413,2,0
0,0,1
577,1,0
1970,2,0
3517,3,0
0,0,1
0,0,1
0,0,0
540,1,0
0,0,0
2025,1,0
3961,2,0
4536,3,0
5558,4,0
5679,5,0
0,0,0
0,0,0
