cumulative_distance,n_game_road_trip,win?
0,0,0
747,1,1
1078,2,1
3072,3,0
3774,4,0
0,0,1
726,1,0
0,0,1
0,0,0
0,0,1
0,0,1
726,1,0
1438,2,1
1583,3,0
0,0,0
0,0,1
0,0,1
1513,1,0
2730,2,0
0,0,1
0,0,1
0,0,0
0,0,0
1513,1,0
0,0,1
856,1,1
0,0,1
0,0,0
0,0,0
0,0,1
0,0,1
1161,1,0
1468,2,0
0,0,1
531,1,0
0,0,1
0,0,0
2184,1,0
3128,2,1
3703,3,0
5035,4,0
5814,5,0
8161,6,1
0,0,1
0,0,1
602,1,0
1681,2,1
2579,3,0
0,0,1
1161,1,0
0,0,1
0,0,1
0,0,0
1493,1,0
2650,2,1
3510,3,0
4858,4,0
0,0,1
0,0,0
0,0,0
0,0,0
854,1,1
0,0,0
0,0,0
0,0,1
1062,1,0
2683,2,0
4647,3,1
6140,4,0
0,0,0
0,0,1
0,0,1
947,1,1
0,0,1
3409,1,0
3969,2,0
7030,3,0
7686,4,1
0,0,1
814,1,1
959,2,1
0,0,0
