cumulative_distance,n_game_road_trip,win?
1070,1,0
0,0,0
1293,1,0
0,0,1
947,1,0
1312,2,1
0,0,0
0,0,0
0,0,0
0,0,0
1146,1,1
3029,2,0
0,0,1
0,0,0
1368,1,0
2746,2,0
0,0,0
0,0,1
0,0,0
572,1,0
0,0,0
131,1,0
537,2,0
2319,3,0
4169,4,0
0,0,1
0,0,0
0,0,0
1589,1,0
3258,2,1
3937,3,0
0,0,0
0,0,1
495,1,1
0,0,0
958,1,1
1523,2,0
0,0,0
0,0,0
0,0,0
2827,1,0
3690,2,0
6751,3,0
9505,4,0
10843,5,0
0,0,0
495,1,1
0,0,0
0,0,0
0,0,0
1152,1,0
2908,2,1
3964,3,0
0,0,0
1152,1,1
0,0,0
0,0,0
0,0,1
1589,1,1
0,0,1
0,0,0
778,1,1
1321,2,1
0,0,0
665,1,0
0,0,1
0,0,0
382,1,0
0,0,0
2808,1,0
3391,2,0
4413,3,1
0,0,1
0,0,0
702,1,0
0,0,0
0,0,0
1146,1,0
1474,2,1
0,0,0
0,0,0
1070,1,0
