cumulative_distance,n_game_road_trip,win?
1735,1,0
0,0,0
364,1,0
1307,2,0
0,0,0
0,0,1
1997,1,1
2557,2,0
6692,3,0
6998,4,0
0,0,0
1547,1,0
3216,2,0
0,0,0
1648,1,0
0,0,1
0,0,0
1493,1,0
0,0,1
0,0,0
0,0,0
0,0,1
364,1,0
0,0,1
0,0,0
860,1,0
0,0,1
1067,1,0
2649,2,1
3981,3,1
6671,4,0
0,0,0
1997,1,1
2557,2,0
0,0,1
0,0,0
0,0,0
1390,1,0
3451,2,1
0,0,1
1293,1,1
3213,2,0
0,0,0
0,0,1
0,0,1
305,1,0
984,2,1
0,0,1
0,0,1
2629,1,1
4211,2,0
0,0,0
0,0,1
0,0,1
0,0,0
1607,1,0
2481,2,0
0,0,1
0,0,1
1157,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
1935,1,0
2500,2,1
2699,3,0
2828,4,1
0,0,0
0,0,1
0,0,0
0,0,0
711,1,0
1290,2,0
2188,3,1
5042,4,0
5625,5,0
0,0,0
1428,1,0
0,0,0
673,1,1
