cumulative_distance,n_game_road_trip,win?
329,1,1.0
0,0,0.0
0,0,0.0
0,0,1.0
333,1,0.0
1035,2,0.0
0,0,1.0
636,1,0.0
0,0,1.0
329,1,0.0
0,0,0.0
1863,1,0.0
2919,2,0.0
3866,3,0.0
0,0,1.0
406,1,0.0
0,0,1.0
814,1,0.0
0,0,0.0
0,0,1.0
145,1,1.0
0,0,0.0
0,0,1.0
1515,1,1.0
0,0,0.0
1782,1,1.0
0,0,0.0
0,0,0.0
986,1,0.0
0,0,0.0
0,0,0.0
0,0,1.0
1996,1,0.0
3191,2,0.0
5945,3,0.0
6505,4,1.0
7065,5,0.0
10360,6,1.0
0,0,0.0
0,0,0.0
0,0,0.0
986,1,1.0
2494,2,1.0
3368,3,0.0
0,0,1.0
0,0,0.0
0,0,0.0
0,0,0.0
781,1,0.0
0,0,0.0
0,0,1.0
1004,1,0.0
0,0,1.0
1466,1,0.0
0,0,0.0
0,0,0.0
1543,1,0.0
0,0,0.0
3166,1,0.0
4748,2,0.0
5692,3,1.0
6714,4,0.0
0,0,0.0
0,0,0.0
774,1,0.0
904,2,0.0
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
