cumulative_distance,n_game_road_trip,win?
1428,1,0
0,0,1
0,0,1
1157,1,0
2342,2,0
0,0,0
411,1,0
2347,2,0
0,0,0
0,0,1
860,1,0
0,0,1
1293,1,1
0,0,1
0,0,1
673,1,0
0,0,1
0,0,1
364,1,1
2573,2,0
0,0,1
0,0,1
711,1,0
0,0,1
0,0,1
0,0,1
1428,1,0
0,0,0
1067,1,0
2405,2,0
2965,3,0
3828,4,0
0,0,1
711,1,0
0,0,1
305,1,0
1818,2,1
2979,3,0
3415,4,0
0,0,0
0,0,1
1390,1,1
0,0,0
0,0,0
1735,1,0
2455,2,0
0,0,1
0,0,1
0,0,0
2205,1,1
2979,2,0
3124,3,1
0,0,1
0,0,0
0,0,1
364,1,0
0,0,0
0,0,0
860,1,0
3614,2,0
0,0,1
0,0,0
2208,1,0
2536,2,0
3758,3,0
0,0,0
0,0,0
1067,1,0
0,0,1
0,0,0
2629,1,0
3408,2,0
3529,3,1
0,0,0
1788,1,0
3764,2,1
0,0,1
0,0,0
0,0,0
673,1,1
0,0,1
411,1,0
