cumulative_distance,n_game_road_trip,win?
1338,1,1
0,0,1
0,0,1
0,0,1
1338,1,0
0,0,1
1479,1,1
1974,2,1
0,0,1
0,0,1
1414,1,0
0,0,0
0,0,0
0,0,0
0,0,1
1741,1,0
3211,2,0
3692,3,1
0,0,1
812,1,1
0,0,1
1582,1,1
4980,2,1
6672,3,1
7419,4,0
7784,5,0
0,0,1
0,0,1
0,0,1
0,0,1
1338,1,0
3274,2,0
0,0,1
944,1,1
0,0,1
1429,1,1
0,0,1
1415,1,0
2974,2,1
0,0,1
944,1,0
0,0,1
0,0,0
0,0,1
0,0,1
1559,1,0
0,0,1
0,0,1
1414,1,1
1993,2,1
0,0,1
1126,1,1
2000,2,0
2781,3,0
2910,4,0
0,0,1
0,0,1
1067,1,1
0,0,1
0,0,1
0,0,0
0,0,0
1293,1,0
3229,2,1
3789,3,0
0,0,1
0,0,1
0,0,1
2845,1,1
3479,2,1
3807,3,1
4303,4,0
0,0,1
1415,1,0
2082,2,1
0,0,0
1527,1,0
0,0,1
0,0,1
1582,1,0
4684,2,0
0,0,1
