cumulative_distance,n_game_road_trip,win?
0,0,1
382,1,1
0,0,1
0,0,1
0,0,0
986,1,0
1293,2,0
1422,3,0
0,0,0
1543,1,1
2190,2,1
0,0,0
333,1,1
0,0,1
1782,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
406,1,0
0,0,0
0,0,0
712,1,0
1438,2,0
0,0,1
0,0,0
874,1,1
2387,2,0
0,0,0
0,0,1
329,1,0
1677,2,0
3395,3,0
4293,4,1
0,0,0
0,0,0
3190,1,0
3773,2,0
4356,3,1
7110,4,0
0,0,1
0,0,1
0,0,0
636,1,0
2191,2,1
2902,3,0
0,0,0
0,0,1
0,0,0
0,0,1
774,1,1
0,0,1
0,0,1
986,1,0
2494,2,1
3471,3,1
0,0,1
1996,1,0
4021,2,1
0,0,1
0,0,1
382,1,1
0,0,1
781,1,0
2537,2,0
0,0,1
0,0,1
145,1,0
2958,2,1
4579,3,0
5442,4,0
6969,5,0
0,0,1
0,0,1
329,1,0
0,0,0
1466,1,0
0,0,0
0,0,1
774,1,1
