cumulative_distance,n_game_road_trip,win?
0,0,0
3098,1,1
5214,2,1
6835,3,1
0,0,1
560,1,0
0,0,1
0,0,1
1527,1,1
0,0,1
3649,1,1
4342,2,1
5720,3,1
6440,4,1
0,0,1
560,1,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
560,1,1
3314,2,1
3501,3,0
4630,4,1
6327,5,1
0,0,1
0,0,1
0,0,1
4141,1,1
4922,2,1
5067,3,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
121,1,1
0,0,1
0,0,1
0,0,1
0,0,1
2647,1,1
4013,2,1
4344,3,0
5400,4,1
0,0,1
863,1,1
0,0,1
560,1,1
1143,2,0
0,0,1
2899,1,1
3578,2,1
4390,3,0
0,0,1
0,0,1
0,0,1
4056,1,1
4255,2,0
5213,3,0
6359,4,1
7561,5,1
0,0,0
2548,1,0
4340,2,0
0,0,1
0,0,1
0,0,1
2234,1,1
2539,2,1
0,0,1
0,0,1
2647,1,1
2952,2,1
0,0,1
0,0,1
0,0,1
1052,1,1
0,0,1
0,0,0
0,0,1
