cumulative_distance,n_game_road_trip,win?
2647,1,1
2768,2,1
0,0,1
0,0,0
2159,1,1
2885,2,1
3723,3,0
0,0,0
2285,1,1
3487,2,1
0,0,1
0,0,1
0,0,1
1850,1,1
0,0,0
1635,1,1
3666,2,1
0,0,1
0,0,1
0,0,1
0,0,1
2209,1,1
4963,2,1
8065,3,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
667,1,0
3073,2,0
3707,3,0
0,0,1
1366,1,1
0,0,0
1782,1,0
2164,2,1
0,0,1
1635,1,1
2210,2,0
0,0,1
0,0,1
0,0,1
364,1,1
1075,2,0
0,0,1
0,0,1
305,1,1
2330,2,1
2987,3,1
4743,4,1
0,0,1
0,0,1
1705,1,1
0,0,1
0,0,1
1415,1,1
2974,2,1
5728,3,1
0,0,1
667,1,1
1848,2,1
2541,3,0
4476,4,1
0,0,1
0,0,1
512,1,1
2209,2,1
4502,3,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
305,1,0
0,0,1
0,0,1
0,0,0
2209,1,1
2792,2,0
