cumulative_distance,n_game_road_trip,win?
0,0,0
2209,1,1
2209,2,0
0,0,0
0,0,0
0,0,0
2286,1,1
3438,2,1
4103,3,1
5749,4,0
6428,5,0
0,0,1
1415,1,1
0,0,1
0,0,1
0,0,1
1782,1,0
1927,2,0
2418,3,0
0,0,0
305,1,1
0,0,1
1705,1,0
2840,2,0
3700,3,0
0,0,1
0,0,1
781,1,1
0,0,1
0,0,1
1559,1,0
0,0,1
0,0,1
0,0,1
512,1,1
0,0,1
2647,1,1
3510,2,0
0,0,1
0,0,0
0,0,1
1366,1,0
0,0,1
0,0,0
0,0,1
2159,1,0
2289,2,1
0,0,1
0,0,1
0,0,0
1415,1,0
2974,2,1
5185,3,1
6207,4,1
0,0,0
0,0,1
1705,1,0
4157,2,0
4717,3,1
0,0,1
1492,1,1
0,0,1
2585,1,1
3278,2,1
0,0,1
364,1,1
0,0,1
0,0,0
0,0,1
0,0,1
1130,1,1
1673,2,0
0,0,1
512,1,1
1982,2,0
0,0,1
0,0,1
2588,1,1
3171,2,1
0,0,1
0,0,1
667,1,0
