cumulative_distance,n_game_road_trip,win?
0,0,1
0,0,0
1651,1,0
4091,2,1
5210,3,0
0,0,1
0,0,1
184,1,1
761,2,0
891,3,0
0,0,0
329,1,0
711,2,1
0,0,0
1079,1,1
0,0,1
1651,1,1
1982,2,1
0,0,1
0,0,0
0,0,1
1850,1,0
3947,2,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
500,1,1
0,0,0
860,1,1
0,0,1
329,1,0
0,0,0
665,1,0
0,0,0
720,1,0
0,0,1
0,0,1
0,0,0
0,0,1
2953,1,1
5164,2,1
8266,3,0
9598,4,0
11534,5,1
0,0,1
184,1,0
0,0,1
0,0,1
0,0,1
602,1,0
0,0,1
0,0,0
761,1,1
0,0,1
500,1,1
0,0,1
1735,1,0
2892,2,0
3971,3,1
4994,4,1
0,0,1
0,0,0
0,0,1
761,1,1
1197,2,1
0,0,0
307,1,0
0,0,1
1502,1,0
0,0,1
0,0,1
3650,1,1
3771,2,1
4354,3,1
5692,4,0
0,0,1
344,1,0
1291,2,1
0,0,0
