cumulative_distance,n_game_road_trip,win?
1332,1,1
0,0,1
0,0,1
0,0,0
2579,1,1
3597,2,1
0,0,1
0,0,1
1899,1,1
3018,2,1
0,0,1
0,0,0
583,1,1
0,0,1
0,0,1
1997,1,1
3604,2,0
3933,3,0
4433,4,0
5090,5,1
6581,6,1
0,0,0
0,0,0
0,0,1
0,0,1
3542,1,1
3873,2,1
5366,3,0
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
2690,1,0
3202,2,0
3869,3,0
0,0,1
0,0,1
583,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
1338,1,0
3288,2,1
4361,3,0
8417,4,0
9469,5,1
0,0,0
4175,1,0
4868,2,0
5419,3,1
6275,4,1
6931,5,1
0,0,1
560,1,0
0,0,0
0,0,1
0,0,0
2806,1,0
2937,2,1
0,0,1
2452,1,0
3581,2,1
0,0,1
2754,1,0
0,0,0
1338,1,0
0,0,1
0,0,1
0,0,1
1997,1,0
0,0,1
0,0,0
0,0,1
575,1,1
0,0,1
0,0,1
1936,1,1
0,0,1
0,0,1
