cumulative_distance,n_game_road_trip,win?
1332,1,0
0,0,0
0,0,0
575,1,1
0,0,1
1936,1,0
3728,2,0
0,0,1
1332,1,1
0,0,0
0,0,1
583,1,1
0,0,1
0,0,1
3542,1,0
3873,2,1
5631,3,1
0,0,1
0,0,0
1338,1,0
0,0,1
0,0,1
0,0,1
0,0,1
1936,1,0
2954,2,1
0,0,1
2209,1,0
3701,2,1
4232,3,0
4560,4,0
0,0,1
0,0,0
560,1,1
681,2,0
0,0,0
0,0,1
0,0,0
0,0,0
2452,1,0
3842,2,1
0,0,1
2754,1,0
0,0,0
0,0,1
1899,1,1
2566,2,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,1
560,1,0
4210,2,0
4971,3,1
5407,4,0
6480,5,0
0,0,1
2690,1,0
3269,2,0
0,0,1
0,0,0
575,1,0
0,0,0
0,0,0
0,0,0
2808,1,1
3510,2,0
3843,3,0
4617,4,0
5797,5,0
0,0,0
0,0,1
0,0,1
2754,1,0
0,0,1
2690,1,1
3619,2,0
0,0,0
0,0,1
0,0,1
0,0,0
