cumulative_distance,n_game_road_trip,win?
1079,1,0
0,0,1
187,1,1
3159,2,0
0,0,1
0,0,1
187,1,1
2398,2,0
3450,3,0
0,0,1
0,0,1
0,0,0
898,1,1
0,0,1
1129,1,1
0,0,1
1018,1,1
2954,2,0
0,0,0
0,0,0
1538,1,1
1667,2,0
0,0,1
579,1,1
0,0,0
1414,1,0
0,0,1
0,0,0
0,0,0
2899,1,0
3762,2,0
4541,3,0
5124,4,1
0,0,1
0,0,0
781,1,0
0,0,0
0,0,0
1018,1,0
1835,2,0
0,0,1
1408,1,0
2967,2,0
0,0,0
1828,1,0
2521,2,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
1129,1,0
2642,2,0
3498,3,1
0,0,1
679,1,0
0,0,1
0,0,0
778,1,0
0,0,0
1015,1,0
0,0,1
0,0,0
673,1,1
978,2,0
0,0,1
0,0,1
0,0,1
543,1,0
1417,2,0
0,0,1
1101,1,0
0,0,0
0,0,1
0,0,0
2031,1,1
2606,2,0
3938,3,0
6567,4,1
0,0,0
1004,1,0
0,0,1
