cumulative_distance,n_game_road_trip,win?
0,0,1.0
2048,1,1.0
2529,2,0.0
0,0,1.0
977,1,1.0
0,0,1.0
2780,1,0.0
3724,2,1.0
4299,3,0.0
0,0,1.0
1758,1,1.0
0,0,1.0
0,0,1.0
1920,1,1.0
2990,2,0.0
0,0,1.0
1559,1,0.0
0,0,1.0
1756,1,1.0
2315,2,1.0
3008,3,0.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,0.0
1788,1,1.0
2461,2,0.0
3877,3,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
1493,1,0.0
0,0,1.0
331,1,0.0
0,0,1.0
1651,1,1.0
2151,2,0.0
2159,3,0.0
0,0,1.0
1976,1,1.0
2655,2,0.0
0,0,1.0
0,0,1.0
0,0,0.0
0,0,1.0
0,0,0.0
331,1,1.0
0,0,1.0
3764,1,0.0
4347,2,0.0
5126,3,0.0
5989,4,1.0
9050,5,0.0
9444,6,0.0
0,0,1.0
1758,1,0.0
0,0,0.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
1078,1,0.0
2633,2,1.0
0,0,0.0
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
