cumulative_distance,n_game_road_trip,win?
0,0,0
0,0,1
406,1,0
1921,2,1
0,0,1
0,0,1
1379,1,0
0,0,0
0,0,1
1079,1,0
2056,2,0
0,0,0
0,0,1
0,0,0
1718,1,1
0,0,1
1186,1,1
0,0,1
0,0,0
0,0,1
0,0,0
1023,1,0
1588,2,0
0,0,1
131,1,1
0,0,0
540,1,0
0,0,1
1023,1,0
1659,2,1
2533,3,0
3105,4,1
0,0,1
1180,1,1
0,0,0
0,0,0
1786,1,1
0,0,1
1079,1,0
0,0,0
1621,1,0
2987,2,0
3318,3,0
0,0,1
0,0,0
693,1,0
0,0,0
830,1,0
2389,2,0
3333,3,1
0,0,0
0,0,0
720,1,1
0,0,1
1186,1,1
0,0,0
0,0,1
540,1,0
0,0,0
0,0,1
0,0,1
1116,1,1
0,0,1
0,0,1
0,0,1
898,1,0
3477,2,1
3477,3,1
4037,4,0
4900,5,1
5679,6,1
0,0,1
0,0,0
1062,1,1
2223,2,1
0,0,1
0,0,0
1181,1,0
2827,2,0
3233,3,1
0,0,1
1378,1,0
