cumulative_distance,n_game_road_trip,win?
1645,1,1.0
2499,2,1.0
0,0,1.0
1585,1,0.0
1784,2,1.0
0,0,0.0
1129,1,0.0
0,0,1.0
0,0,0.0
874,1,1.0
0,0,1.0
0,0,0.0
0,0,0.0
1135,1,1.0
0,0,0.0
0,0,0.0
1464,1,1.0
2885,2,1.0
0,0,0.0
1390,1,0.0
1695,2,0.0
3594,3,0.0
4169,4,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1126,1,0.0
2708,2,0.0
3571,3,0.0
3692,4,1.0
0,0,0.0
0,0,1.0
481,1,0.0
0,0,1.0
1014,1,1.0
2029,2,0.0
0,0,1.0
1705,1,0.0
0,0,0.0
0,0,0.0
1198,1,0.0
0,0,0.0
0,0,0.0
572,1,0.0
0,0,0.0
0,0,0.0
0,0,0.0
2452,1,0.0
3035,2,0.0
0,0,0.0
0,0,1.0
1115,1,0.0
0,0,0.0
0,0,0.0
1126,1,0.0
2193,2,0.0
3981,3,1.0
4312,4,0.0
0,0,0.0
1697,1,1.0
0,0,1.0
0,0,0.0
0,0,0.0
1705,1,0.0
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
