cumulative_distance,n_game_road_trip,win?
1792,1,0
0,0,1
1390,1,0
0,0,1
1115,1,0
0,0,0
0,0,1
0,0,1
2548,1,0
3411,2,0
4743,3,0
4743,4,0
5326,5,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
1645,1,1
0,0,1
1014,1,1
0,0,1
0,0,0
0,0,1
0,0,1
2293,1,0
3156,2,0
3277,3,0
4299,4,0
0,0,1
0,0,0
1792,1,0
2471,2,1
3587,3,1
0,0,0
2440,1,1
3518,2,0
5707,3,0
0,0,1
0,0,1
1119,1,1
0,0,0
0,0,1
1585,1,0
0,0,0
0,0,1
2061,1,1
2636,2,1
5390,3,0
0,0,0
0,0,1
0,0,0
1129,1,0
2230,2,0
3089,3,0
0,0,1
0,0,1
1638,1,1
2818,2,0
0,0,1
1464,1,0
2324,2,0
2631,3,0
0,0,1
874,1,0
0,0,1
0,0,1
1126,1,0
2685,2,0
3628,3,0
0,0,0
1513,1,0
2351,2,1
0,0,0
0,0,1
0,0,0
0,0,0
1390,1,1
0,0,1
0,0,0
0,0,0
1126,1,0
