cumulative_distance,n_game_road_trip,win?
512,1,1
0,0,1
0,0,1
0,0,1
0,0,0
1741,1,0
3268,2,0
4131,3,0
6901,4,0
7580,5,0
0,0,1
0,0,1
1795,1,1
2910,2,0
0,0,1
0,0,1
0,0,1
1754,1,0
1884,2,0
2212,3,0
0,0,0
0,0,1
1078,1,0
2134,2,1
0,0,0
0,0,1
0,0,0
1515,1,1
2501,2,0
0,0,1
0,0,0
1470,1,0
4276,2,0
4859,3,0
7178,4,0
0,0,1
0,0,0
0,0,1
1883,1,0
2540,2,1
0,0,1
0,0,1
1697,1,0
4149,2,1
4709,3,0
5572,4,0
8547,5,1
0,0,0
929,1,0
0,0,0
512,1,1
0,0,0
817,1,0
0,0,0
1346,1,1
0,0,1
579,1,0
0,0,0
0,0,1
1502,1,0
0,0,1
0,0,0
2690,1,0
3265,2,1
4209,3,1
5768,4,1
0,0,0
0,0,0
684,1,0
0,0,0
0,0,0
0,0,0
711,1,1
2258,2,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
2116,1,0
3138,2,1
0,0,0
