cumulative_distance,n_game_road_trip,win?
0,0,1
857,1,0
0,0,0
0,0,1
1119,1,0
1691,2,1
1822,3,1
0,0,0
2393,1,0
3172,2,0
4601,3,0
0,0,1
0,0,1
0,0,1
679,1,0
1496,2,0
0,0,1
0,0,0
305,1,0
1852,2,0
0,0,1
0,0,1
0,0,1
2138,1,0
3676,2,1
0,0,0
1646,1,1
2052,2,1
2182,3,0
0,0,1
0,0,1
0,0,1
857,1,1
0,0,1
0,0,1
0,0,0
0,0,0
1899,1,1
1899,2,1
2474,3,0
0,0,0
1119,1,0
2632,2,1
0,0,1
0,0,1
1531,1,1
0,0,1
0,0,1
1466,1,1
0,0,1
1853,1,0
4253,2,0
0,0,0
0,0,0
2234,1,1
2794,2,0
0,0,1
0,0,0
679,1,1
3492,2,1
3613,3,0
0,0,1
305,1,1
1733,2,1
3354,3,0
0,0,0
0,0,1
0,0,1
0,0,1
1217,1,1
0,0,1
1798,1,1
2491,2,0
0,0,1
0,0,0
679,1,0
0,0,0
929,1,1
0,0,0
667,1,1
2226,2,1
0,0,1
