cumulative_distance,n_game_road_trip,win?
0,0,1
1509,1,0
2166,2,1
0,0,1
0,0,1
747,1,0
1793,2,1
2372,3,1
0,0,0
0,0,0
0,0,1
2969,1,1
3913,2,0
5440,3,0
6303,4,0
0,0,0
0,0,0
2111,1,0
3917,2,0
4353,3,0
4759,4,0
0,0,1
0,0,0
1513,1,1
2369,2,0
0,0,1
0,0,0
647,1,0
0,0,0
0,0,0
1543,1,0
1925,2,0
0,0,0
1222,1,0
2715,2,0
0,0,1
0,0,0
1509,1,0
0,0,0
0,0,0
1547,1,0
2926,2,0
3949,3,0
0,0,1
1444,1,0
2330,2,1
0,0,0
1348,1,0
3198,2,0
0,0,1
0,0,0
331,1,1
0,0,1
0,0,1
0,0,0
1589,1,0
0,0,0
0,0,0
1393,1,0
3419,2,0
0,0,0
0,0,1
0,0,1
1006,1,0
3760,2,0
4343,3,0
4926,4,0
6862,5,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
647,1,0
1849,2,1
0,0,1
0,0,0
1692,1,0
2385,2,0
0,0,1
