cumulative_distance,n_game_road_trip,win?
0,0,1
0,0,0
1393,1,0
1829,2,1
0,0,0
1718,1,0
0,0,0
0,0,0
1669,1,1
0,0,1
0,0,0
0,0,1
1513,1,1
1841,2,0
0,0,1
0,0,1
0,0,1
0,0,0
2496,1,0
3834,2,1
4394,3,0
5257,4,0
6878,5,1
10067,6,1
0,0,0
0,0,0
1547,1,0
0,0,1
0,0,1
0,0,0
1589,1,0
0,0,0
0,0,0
0,0,1
0,0,1
747,1,0
1694,2,1
2266,3,0
4718,4,0
5301,5,0
8273,6,0
0,0,1
0,0,1
1543,1,0
0,0,0
0,0,0
647,1,1
1849,2,0
0,0,0
1366,1,0
0,0,0
0,0,1
0,0,1
1705,1,0
0,0,1
1718,1,1
2797,2,1
3481,3,1
0,0,1
0,0,0
1692,1,1
2243,2,0
0,0,1
1348,1,1
1532,2,0
2109,3,0
0,0,1
1101,1,0
2330,2,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
331,1,1
2194,2,0
2523,3,1
2867,4,0
0,0,1
0,0,1
1798,1,1
2959,2,1
