cumulative_distance,n_game_road_trip,win?
436,1,0
0,0,1
0,0,1
712,1,0
1118,2,0
0,0,1
0,0,1
541,1,0
0,0,1
0,0,1
129,1,0
629,2,1
0,0,1
1416,1,0
2824,2,1
3155,3,0
0,0,1
726,1,1
0,0,1
0,0,1
0,0,0
129,1,1
0,0,1
0,0,1
0,0,1
541,1,0
874,2,1
0,0,1
0,0,0
0,0,0
577,1,1
2602,2,0
0,0,1
0,0,1
436,1,0
2085,2,1
5187,3,0
6519,4,1
7094,5,1
0,0,1
0,0,1
199,1,0
0,0,0
130,1,1
0,0,1
406,1,1
0,0,0
0,0,1
0,0,1
2538,1,0
3876,2,1
4436,3,1
4557,4,0
0,0,0
0,0,1
0,0,1
0,0,0
130,1,1
0,0,1
0,0,0
1754,1,1
2683,2,1
0,0,0
0,0,1
1070,1,0
2588,2,0
0,0,1
0,0,1
0,0,1
1116,1,1
2178,2,1
0,0,1
1073,1,0
1720,2,0
0,0,1
1585,1,1
2975,2,0
4132,3,0
0,0,0
1070,1,1
2990,2,0
0,0,1
