cumulative_distance,n_game_road_trip,win?
0,0,1
944,1,0
2471,2,0
0,0,0
2031,1,0
2710,2,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
2116,1,0
3045,2,0
0,0,1
0,0,0
3349,1,0
4419,2,0
4550,3,1
4956,4,0
0,0,0
575,1,0
0,0,0
575,1,0
0,0,0
1621,1,0
0,0,0
0,0,0
1365,1,0
0,0,1
0,0,1
3449,1,1
3755,2,1
4389,3,0
4717,4,0
6226,5,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1428,1,0
0,0,1
2953,1,0
3297,2,0
4244,3,0
5757,4,0
0,0,0
0,0,0
944,1,0
2282,2,0
4218,3,0
0,0,0
0,0,0
2211,1,0
0,0,0
1022,1,0
1605,2,0
4900,3,0
5795,4,0
6772,5,1
0,0,0
0,0,1
0,0,1
0,0,1
1621,1,0
2484,2,1
0,0,0
1635,1,0
2147,2,1
0,0,0
0,0,0
1022,1,0
3994,2,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,1
1635,1,0
1999,2,0
