cumulative_distance,n_game_road_trip,win?
0,0,0.0
779,1,1.0
3098,2,1.0
3509,3,0.0
4188,4,1.0
0,0,0.0
863,1,0.0
1423,2,0.0
0,0,0.0
0,0,1.0
779,1,0.0
0,0,0.0
2770,1,1.0
3075,2,0.0
3587,3,0.0
5057,4,0.0
5597,5,0.0
6092,6,1.0
0,0,1.0
0,0,1.0
1332,1,0.0
0,0,1.0
0,0,0.0
0,0,0.0
0,0,1.0
1582,1,0.0
2526,2,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,0.0
3102,1,0.0
0,0,0.0
0,0,0.0
3931,1,0.0
4259,2,1.0
5752,3,0.0
7746,4,1.0
8861,5,0.0
0,0,0.0
0,0,1.0
2955,1,1.0
3319,2,0.0
3624,3,0.0
0,0,1.0
0,0,0.0
0,0,1.0
0,0,1.0
1332,1,1.0
0,0,1.0
1582,1,0.0
0,0,1.0
3102,1,0.0
0,0,1.0
3320,1,0.0
3899,2,0.0
0,0,0.0
0,0,1.0
0,0,0.0
3484,1,0.0
4344,2,0.0
4991,3,1.0
0,0,1.0
1621,1,0.0
0,0,0.0
0,0,1.0
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
