cumulative_distance,n_game_road_trip,win?
0,0,0
3030,1,0
3959,2,1
4771,3,0
0,0,1
0,0,1
4106,1,1
4437,2,1
5084,3,1
6163,4,0
0,0,0
0,0,1
0,0,0
0,0,1
2813,1,0
3594,2,0
0,0,1
2972,1,1
6033,2,0
0,0,0
0,0,0
0,0,1
1022,1,1
3835,2,1
4019,3,0
4684,4,1
0,0,1
0,0,0
2319,1,1
3709,2,0
0,0,0
0,0,1
0,0,1
583,1,0
0,0,1
583,1,0
0,0,0
0,0,0
0,0,0
0,0,1
1022,1,0
0,0,1
0,0,1
0,0,1
3609,1,0
4423,2,1
5204,3,0
5763,4,0
7080,5,1
9659,6,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
1429,1,0
2956,2,0
5190,3,1
6309,4,0
0,0,0
0,0,0
0,0,1
0,0,0
4029,1,1
4357,2,0
4991,3,0
5427,4,0
0,0,1
0,0,0
0,0,1
0,0,1
583,1,0
2580,2,1
3291,3,0
3803,4,0
4108,5,1
0,0,0
0,0,1
2972,1,0
0,0,0
779,1,0
