cumulative_distance,n_game_road_trip,win?
2397,1,1
2518,2,1
0,0,1
1849,1,1
0,0,0
1195,1,1
0,0,0
0,0,0
0,0,1
305,1,1
0,0,1
2347,1,1
2930,2,1
0,0,1
1779,1,1
2940,2,1
3574,3,1
0,0,0
411,1,1
0,0,1
1786,1,1
2267,2,1
2839,3,0
0,0,1
0,0,1
1365,1,1
0,0,1
305,1,1
2514,2,0
3846,3,1
0,0,1
0,0,1
0,0,1
1421,1,0
0,0,1
1293,1,1
0,0,1
0,0,0
0,0,1
1365,1,0
0,0,1
0,0,1
2025,1,1
2682,2,1
3241,3,1
5036,4,0
0,0,0
0,0,1
0,0,1
0,0,1
1018,1,0
2434,2,1
3146,3,1
3920,4,0
4416,5,1
5764,6,1
9306,7,1
9306,8,1
0,0,1
817,1,1
0,0,1
0,0,1
0,0,1
679,1,0
0,0,1
0,0,1
0,0,0
1018,1,0
0,0,1
1792,1,1
0,0,1
0,0,1
0,0,1
0,0,0
679,1,1
0,0,1
0,0,1
0,0,0
411,1,1
0,0,0
2770,1,0
5872,2,0
