cumulative_distance,n_game_road_trip,win?
0,0,1
3061,1,1
4620,2,0
0,0,1
0,0,1
4135,1,1
4143,2,1
5295,3,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
560,1,0
0,0,1
2647,1,0
3011,2,0
3422,3,0
0,0,0
0,0,1
0,0,1
0,0,1
3649,1,0
3982,2,0
4945,3,1
5840,4,1
6380,5,1
0,0,1
0,0,0
121,1,1
0,0,1
3061,1,0
0,0,1
0,0,1
0,0,0
0,0,0
863,1,1
2484,2,1
0,0,0
121,1,1
0,0,1
0,0,1
2388,1,1
3455,2,1
0,0,1
560,1,1
560,2,1
4258,3,1
4892,4,1
5653,5,1
0,0,0
0,0,1
0,0,1
1052,1,1
0,0,1
0,0,1
863,1,0
0,0,1
0,0,0
3702,1,1
4758,2,0
5089,3,0
6482,4,1
0,0,0
0,0,1
0,0,0
2647,1,1
3314,2,1
3993,3,0
5785,4,1
0,0,1
0,0,0
0,0,1
2899,1,1
4028,2,0
0,0,1
0,0,1
560,1,1
0,0,1
0,0,1
3098,1,1
3677,2,0
