cumulative_distance,n_game_road_trip,win?
0,0,1
0,0,1
2320,1,0
4717,2,0
5277,3,1
6609,4,1
8191,5,0
9750,6,1
0,0,0
0,0,1
0,0,1
693,1,0
3278,2,1
3790,3,1
0,0,1
0,0,1
551,1,0
1047,2,0
1907,3,1
0,0,1
0,0,1
0,0,1
1317,1,1
4130,2,1
4713,3,0
5288,4,1
0,0,1
0,0,1
947,1,1
1673,2,1
0,0,1
1935,1,0
2240,2,0
0,0,1
0,0,1
702,1,1
833,2,1
2019,3,1
0,0,0
0,0,1
0,0,0
541,1,0
0,0,1
0,0,1
1115,1,0
2579,2,1
0,0,0
0,0,1
0,0,1
565,1,0
0,0,1
0,0,1
0,0,1
0,0,1
947,1,1
0,0,1
702,1,1
0,0,0
0,0,1
1692,1,1
2914,2,1
0,0,1
0,0,1
333,1,1
0,0,1
551,1,1
559,2,1
1059,3,1
0,0,1
0,0,0
1692,1,1
3136,2,0
0,0,1
0,0,0
0,0,1
693,1,0
1579,2,0
0,0,1
0,0,1
0,0,1
333,1,1
2196,2,0
