cumulative_distance,n_game_road_trip,win?
3102,1,0
0,0,1
2754,1,0
4690,2,1
0,0,1
0,0,0
1354,1,1
1484,2,1
2210,3,0
2957,4,1
3288,5,1
0,0,0
0,0,0
943,1,0
2358,2,0
0,0,1
0,0,1
1135,1,1
0,0,1
0,0,0
0,0,1
2754,1,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
187,1,1
3086,2,0
0,0,0
0,0,0
2754,1,1
0,0,1
0,0,1
1356,1,1
1663,2,0
2356,3,0
3471,4,1
4600,5,0
0,0,1
0,0,1
0,0,1
2211,1,1
3639,2,1
0,0,1
0,0,0
1559,1,0
0,0,1
0,0,0
0,0,1
0,0,1
394,1,1
1078,2,1
1789,3,0
0,0,0
0,0,0
0,0,1
830,1,1
1853,2,1
3706,3,0
0,0,0
0,0,1
2972,1,1
0,0,1
943,1,1
1610,2,0
0,0,1
867,1,1
1012,2,0
1507,3,0
2172,4,0
0,0,1
2754,1,0
0,0,1
2972,1,1
0,0,1
1195,1,0
0,0,1
0,0,1
3102,1,0
3965,2,1
0,0,1
