cumulative_distance,n_game_road_trip,win?
2972,1,1
0,0,0
0,0,0
943,1,1
1455,2,1
2166,3,1
3556,4,0
0,0,0
1559,1,0
0,0,0
0,0,1
0,0,1
187,1,1
860,2,0
2947,3,0
3383,4,1
4144,5,0
0,0,0
2754,1,0
3337,2,1
0,0,0
1356,1,1
2210,2,1
3266,3,0
0,0,1
0,0,1
1195,1,0
1874,2,0
0,0,1
1006,1,0
2372,2,0
0,0,1
3102,1,1
0,0,0
0,0,1
0,0,0
0,0,1
1165,1,0
1471,2,1
1616,3,1
2022,4,0
0,0,1
0,0,1
0,0,1
0,0,1
2754,1,1
0,0,1
0,0,0
0,0,1
0,0,1
1135,1,1
3428,2,0
0,0,1
0,0,0
0,0,1
0,0,1
3061,1,0
5295,2,0
0,0,1
0,0,1
1559,1,1
0,0,1
0,0,0
656,1,1
1235,2,0
0,0,0
2211,1,1
0,0,1
0,0,1
1044,1,1
1372,2,1
2574,3,0
3523,4,1
0,0,1
0,0,1
0,0,1
0,0,1
2211,1,1
0,0,1
2754,1,0
0,0,1
2754,1,0
