cumulative_distance,n_game_road_trip,win?
0,0,1
0,0,1
2400,1,1
3738,2,0
4298,3,0
4419,4,1
0,0,0
0,0,0
565,1,1
0,0,0
0,0,1
0,0,1
0,0,1
1493,1,1
0,0,0
565,1,0
1258,2,1
2320,3,0
0,0,0
1502,1,1
3087,2,0
0,0,1
1044,1,0
4146,2,1
5767,3,1
6342,4,0
10288,5,0
0,0,1
0,0,1
0,0,0
0,0,1
328,1,0
0,0,1
634,1,1
2142,2,0
0,0,1
0,0,1
0,0,1
1229,1,1
0,0,0
0,0,0
0,0,1
0,0,1
0,0,0
531,1,0
1345,2,1
2952,3,0
3257,4,0
4474,5,1
0,0,1
0,0,1
1222,1,1
2570,2,1
2976,3,0
0,0,0
958,1,1
2104,2,1
2755,3,1
0,0,0
0,0,1
1023,1,1
0,0,0
0,0,0
0,0,0
0,0,1
1555,1,1
2633,2,0
0,0,0
634,1,1
0,0,1
2234,1,0
0,0,0
0,0,0
0,0,1
636,1,0
0,0,1
958,1,0
2476,2,0
4272,3,0
0,0,0
0,0,1
1222,1,0
