cumulative_distance,n_game_road_trip,win?
0,0,0
0,0,0
3784,1,1
4647,2,0
4768,3,0
5351,4,0
7930,5,0
0,0,0
0,0,1
1902,1,0
3449,2,0
3780,3,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,1
565,1,0
0,0,1
0,0,1
1555,1,0
3309,2,0
0,0,1
328,1,1
1530,2,1
2425,3,0
2609,4,0
0,0,0
328,1,0
0,0,1
874,1,0
2004,2,0
0,0,1
307,1,0
636,2,0
0,0,0
0,0,1
0,0,1
1493,1,0
3469,2,1
5495,3,0
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,0
1222,1,1
2891,2,0
4916,3,0
0,0,1
0,0,0
0,0,0
1023,1,0
0,0,1
958,1,1
1340,2,0
1673,3,0
2620,4,0
0,0,0
328,1,1
635,2,0
0,0,1
0,0,1
531,1,0
2044,2,0
0,0,1
0,0,1
0,0,0
0,0,1
0,0,0
958,1,0
0,0,0
0,0,0
3698,1,0
4273,2,1
6484,3,0
8043,4,1
0,0,0
0,0,0
328,1,0
0,0,0
