Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Thu, Nov 1, 2018",Oklahoma City Thunder,111,Charlotte Hornets,107
"Thu, Nov 1, 2018",Denver Nuggets,110,Cleveland Cavaliers,91
"Thu, Nov 1, 2018",Los Angeles Clippers,113,Philadelphia 76ers,122
"Thu, Nov 1, 2018",Sacramento Kings,146,Atlanta Hawks,115
"Thu, Nov 1, 2018",Milwaukee Bucks,113,Boston Celtics,117
"Thu, Nov 1, 2018",New Orleans Pelicans,119,Portland Trail Blazers,132
"Fri, Nov 2, 2018",Los Angeles Clippers,120,Orlando Magic,95
"Fri, Nov 2, 2018",Houston Rockets,119,Brooklyn Nets,111
"Fri, Nov 2, 2018",Indiana Pacers,107,Chicago Bulls,105
"Fri, Nov 2, 2018",Oklahoma City Thunder,134,Washington Wizards,111
"Fri, Nov 2, 2018",New York Knicks,118,Dallas Mavericks,106
"Fri, Nov 2, 2018",Memphis Grizzlies,110,Utah Jazz,100
"Fri, Nov 2, 2018",Toronto Raptors,107,Phoenix Suns,98
"Fri, Nov 2, 2018",Minnesota Timberwolves,99,Golden State Warriors,116
"Sat, Nov 3, 2018",Detroit Pistons,99,Philadelphia 76ers,109
"Sat, Nov 3, 2018",Cleveland Cavaliers,94,Charlotte Hornets,126
"Sat, Nov 3, 2018",Boston Celtics,101,Indiana Pacers,102
"Sat, Nov 3, 2018",Miami Heat,118,Atlanta Hawks,123
"Sat, Nov 3, 2018",Houston Rockets,96,Chicago Bulls,88
"Sat, Nov 3, 2018",New Orleans Pelicans,95,San Antonio Spurs,109
"Sat, Nov 3, 2018",Utah Jazz,88,Denver Nuggets,103
"Sat, Nov 3, 2018",Los Angeles Lakers,114,Portland Trail Blazers,110
"Sun, Nov 4, 2018",Sacramento Kings,109,Milwaukee Bucks,144
"Sun, Nov 4, 2018",Philadelphia 76ers,97,Brooklyn Nets,122
"Sun, Nov 4, 2018",New York Knicks,95,Washington Wizards,108
"Sun, Nov 4, 2018",Orlando Magic,117,San Antonio Spurs,110
"Sun, Nov 4, 2018",Memphis Grizzlies,100,Phoenix Suns,102
"Sun, Nov 4, 2018",Minnesota Timberwolves,81,Portland Trail Blazers,111
"Sun, Nov 4, 2018",Toronto Raptors,121,Los Angeles Lakers,107
"Mon, Nov 5, 2018",Miami Heat,120,Detroit Pistons,115
"Mon, Nov 5, 2018",Houston Rockets,98,Indiana Pacers,94
"Mon, Nov 5, 2018",Cleveland Cavaliers,100,Orlando Magic,102
"Mon, Nov 5, 2018",Chicago Bulls,116,New York Knicks,115
"Mon, Nov 5, 2018",New Orleans Pelicans,116,Oklahoma City Thunder,122
"Mon, Nov 5, 2018",Boston Celtics,107,Denver Nuggets,115
Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Mon, Nov 5, 2018",Toronto Raptors,124,Utah Jazz,111
"Mon, Nov 5, 2018",Memphis Grizzlies,101,Golden State Warriors,117
"Mon, Nov 5, 2018",Minnesota Timberwolves,109,Los Angeles Clippers,120
"Tue, Nov 6, 2018",Atlanta Hawks,102,Charlotte Hornets,113
"Tue, Nov 6, 2018",Washington Wizards,100,Dallas Mavericks,119
"Tue, Nov 6, 2018",Brooklyn Nets,104,Phoenix Suns,82
"Tue, Nov 6, 2018",Milwaukee Bucks,103,Portland Trail Blazers,118
"Wed, Nov 7, 2018",Oklahoma City Thunder,95,Cleveland Cavaliers,86
"Wed, Nov 7, 2018",Detroit Pistons,103,Orlando Magic,96
"Wed, Nov 7, 2018",New York Knicks,112,Atlanta Hawks,107
"Wed, Nov 7, 2018",San Antonio Spurs,88,Miami Heat,95
"Wed, Nov 7, 2018",Philadelphia 76ers,100,Indiana Pacers,94
"Wed, Nov 7, 2018",Denver Nuggets,87,Memphis Grizzlies,89
"Wed, Nov 7, 2018",Chicago Bulls,98,New Orleans Pelicans,107
"Wed, Nov 7, 2018",Dallas Mavericks,102,Utah Jazz,117
"Wed, Nov 7, 2018",Toronto Raptors,114,Sacramento Kings,105
"Wed, Nov 7, 2018",Minnesota Timberwolves,110,Los Angeles Lakers,114
"Thu, Nov 8, 2018",Houston Rockets,80,Oklahoma City Thunder,98
"Thu, Nov 8, 2018",Boston Celtics,116,Phoenix Suns,109
"Thu, Nov 8, 2018",Los Angeles Clippers,105,Portland Trail Blazers,116
"Thu, Nov 8, 2018",Milwaukee Bucks,134,Golden State Warriors,111
"Fri, Nov 9, 2018",Washington Wizards,108,Orlando Magic,117
"Fri, Nov 9, 2018",Charlotte Hornets,132,Philadelphia 76ers,133
"Fri, Nov 9, 2018",Detroit Pistons,124,Atlanta Hawks,109
"Fri, Nov 9, 2018",Indiana Pacers,110,Miami Heat,102
"Fri, Nov 9, 2018",Brooklyn Nets,112,Denver Nuggets,110
"Fri, Nov 9, 2018",Boston Celtics,115,Utah Jazz,123
"Fri, Nov 9, 2018",Minnesota Timberwolves,110,Sacramento Kings,121
"Sat, Nov 10, 2018",New York Knicks,112,Toronto Raptors,128
"Sat, Nov 10, 2018",Milwaukee Bucks,126,Los Angeles Clippers,128
"Sat, Nov 10, 2018",Phoenix Suns,99,New Orleans Pelicans,119
"Sat, Nov 10, 2018",Cleveland Cavaliers,98,Chicago Bulls,99
"Sat, Nov 10, 2018",Philadelphia 76ers,106,Memphis Grizzlies,112
"Sat, Nov 10, 2018",Washington Wizards,116,Miami Heat,110
"Sat, Nov 10, 2018",Brooklyn Nets,100,Golden State Warriors,116
Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Sat, Nov 10, 2018",Houston Rockets,89,San Antonio Spurs,96
"Sat, Nov 10, 2018",Oklahoma City Thunder,96,Dallas Mavericks,111
"Sat, Nov 10, 2018",Los Angeles Lakers,101,Sacramento Kings,86
"Sun, Nov 11, 2018",Charlotte Hornets,113,Detroit Pistons,103
"Sun, Nov 11, 2018",Indiana Pacers,103,Houston Rockets,115
"Sun, Nov 11, 2018",Orlando Magic,115,New York Knicks,89
"Sun, Nov 11, 2018",Milwaukee Bucks,121,Denver Nuggets,114
"Sun, Nov 11, 2018",Boston Celtics,94,Portland Trail Blazers,100
"Sun, Nov 11, 2018",Atlanta Hawks,106,Los Angeles Lakers,107
"Mon, Nov 12, 2018",Orlando Magic,109,Washington Wizards,117
"Mon, Nov 12, 2018",Philadelphia 76ers,124,Miami Heat,114
"Mon, Nov 12, 2018",New Orleans Pelicans,126,Toronto Raptors,110
"Mon, Nov 12, 2018",Dallas Mavericks,103,Chicago Bulls,98
"Mon, Nov 12, 2018",Utah Jazz,96,Memphis Grizzlies,88
"Mon, Nov 12, 2018",Brooklyn Nets,113,Minnesota Timberwolves,120
"Mon, Nov 12, 2018",Phoenix Suns,101,Oklahoma City Thunder,118
"Mon, Nov 12, 2018",San Antonio Spurs,99,Sacramento Kings,104
"Mon, Nov 12, 2018",Golden State Warriors,116,Los Angeles Clippers,121
"Tue, Nov 13, 2018",Charlotte Hornets,89,Cleveland Cavaliers,113
"Tue, Nov 13, 2018",Houston Rockets,109,Denver Nuggets,99
"Tue, Nov 13, 2018",Atlanta Hawks,103,Golden State Warriors,110
"Wed, Nov 14, 2018",Philadelphia 76ers,106,Orlando Magic,111
"Wed, Nov 14, 2018",Cleveland Cavaliers,95,Washington Wizards,119
"Wed, Nov 14, 2018",Chicago Bulls,82,Boston Celtics,111
"Wed, Nov 14, 2018",Miami Heat,120,Brooklyn Nets,107
"Wed, Nov 14, 2018",Detroit Pistons,106,Toronto Raptors,104
"Wed, Nov 14, 2018",Memphis Grizzlies,116,Milwaukee Bucks,113
"Wed, Nov 14, 2018",New Orleans Pelicans,100,Minnesota Timberwolves,107
"Wed, Nov 14, 2018",New York Knicks,103,Oklahoma City Thunder,128
"Wed, Nov 14, 2018",Utah Jazz,68,Dallas Mavericks,118
"Wed, Nov 14, 2018",San Antonio Spurs,96,Phoenix Suns,116
"Wed, Nov 14, 2018",Portland Trail Blazers,117,Los Angeles Lakers,126
"Thu, Nov 15, 2018",Golden State Warriors,86,Houston Rockets,107
"Thu, Nov 15, 2018",Atlanta Hawks,93,Denver Nuggets,138
"Thu, Nov 15, 2018",San Antonio Spurs,111,Los Angeles Clippers,116
Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Fri, Nov 16, 2018",Toronto Raptors,116,Boston Celtics,123
"Fri, Nov 16, 2018",Miami Heat,91,Indiana Pacers,99
"Fri, Nov 16, 2018",Utah Jazz,107,Philadelphia 76ers,113
"Fri, Nov 16, 2018",Brooklyn Nets,115,Washington Wizards,104
"Fri, Nov 16, 2018",Sacramento Kings,104,Memphis Grizzlies,112
"Fri, Nov 16, 2018",Portland Trail Blazers,96,Minnesota Timberwolves,112
"Fri, Nov 16, 2018",New York Knicks,124,New Orleans Pelicans,129
"Fri, Nov 16, 2018",Chicago Bulls,104,Milwaukee Bucks,123
"Sat, Nov 17, 2018",Los Angeles Clippers,127,Brooklyn Nets,119
"Sat, Nov 17, 2018",Philadelphia 76ers,122,Charlotte Hornets,119
"Sat, Nov 17, 2018",Atlanta Hawks,89,Indiana Pacers,97
"Sat, Nov 17, 2018",Denver Nuggets,115,New Orleans Pelicans,125
"Sat, Nov 17, 2018",Los Angeles Lakers,117,Orlando Magic,130
"Sat, Nov 17, 2018",Utah Jazz,98,Boston Celtics,86
"Sat, Nov 17, 2018",Toronto Raptors,122,Chicago Bulls,83
"Sat, Nov 17, 2018",Sacramento Kings,112,Houston Rockets,132
"Sat, Nov 17, 2018",Golden State Warriors,109,Dallas Mavericks,112
"Sat, Nov 17, 2018",Oklahoma City Thunder,110,Phoenix Suns,100
"Sun, Nov 18, 2018",Memphis Grizzlies,100,Minnesota Timberwolves,87
"Sun, Nov 18, 2018",Los Angeles Lakers,113,Miami Heat,97
"Sun, Nov 18, 2018",New York Knicks,117,Orlando Magic,131
"Sun, Nov 18, 2018",Portland Trail Blazers,119,Washington Wizards,109
"Sun, Nov 18, 2018",Golden State Warriors,92,San Antonio Spurs,104
"Mon, Nov 19, 2018",Boston Celtics,112,Charlotte Hornets,117
"Mon, Nov 19, 2018",Cleveland Cavaliers,102,Detroit Pistons,113
"Mon, Nov 19, 2018",Utah Jazz,94,Indiana Pacers,121
"Mon, Nov 19, 2018",Phoenix Suns,114,Philadelphia 76ers,119
"Mon, Nov 19, 2018",Los Angeles Clippers,127,Atlanta Hawks,119
"Mon, Nov 19, 2018",Dallas Mavericks,88,Memphis Grizzlies,98
"Mon, Nov 19, 2018",Denver Nuggets,98,Milwaukee Bucks,104
"Mon, Nov 19, 2018",San Antonio Spurs,126,New Orleans Pelicans,140
"Mon, Nov 19, 2018",Oklahoma City Thunder,113,Sacramento Kings,117
"Tue, Nov 20, 2018",Toronto Raptors,93,Orlando Magic,91
"Tue, Nov 20, 2018",Los Angeles Clippers,118,Washington Wizards,125
"Tue, Nov 20, 2018",Brooklyn Nets,104,Miami Heat,92
